root,lelbow,lwrist,relbow,rwrist
0.84778,1.14436,1.01567,0.71251,0.76393
0.84778,1.14436,1.01567,0.71251,0.76393
0.84778,1.14436,1.01567,0.71251,0.76393
0.851232,1.14816,1.0195,0.715646,0.766988
0.851232,1.14816,1.0195,0.715646,0.766988
0.851232,1.14816,1.0195,0.715646,0.766988
0.855361,1.15301,1.02433,0.71954,0.770602
0.855361,1.15301,1.02433,0.71954,0.770602
0.855361,1.15301,1.02433,0.71954,0.770602
0.859013,1.15744,1.02872,0.723071,0.773786
0.859013,1.15744,1.02872,0.723071,0.773786
0.859013,1.15744,1.02872,0.723071,0.773786
0.860879,1.15979,1.03104,0.724916,0.7754
0.860879,1.15979,1.03104,0.724916,0.7754
0.865211,1.1654,1.03655,0.729256,0.779115
0.865211,1.1654,1.03655,0.729256,0.779115
0.865211,1.1654,1.03655,0.729256,0.779115
0.869035,1.17044,1.0415,0.73313,0.782375
0.869035,1.17044,1.0415,0.73313,0.782375
0.871701,1.17398,1.04497,0.735876,0.784664
0.871701,1.17398,1.04497,0.735876,0.784664
0.871701,1.17398,1.04497,0.735876,0.784664
0.876695,1.18046,1.05134,0.740913,0.788954
0.876695,1.18046,1.05134,0.740913,0.788954
0.876695,1.18046,1.05134,0.740913,0.788954
0.882016,1.18722,1.05802,0.746173,0.793509
0.882016,1.18722,1.05802,0.746173,0.793509
0.881172,1.18234,1.05305,0.746429,0.807758
0.883549,1.18534,1.05601,0.74876,0.809867
0.883549,1.18534,1.05601,0.74876,0.809867
0.883549,1.18534,1.05601,0.74876,0.809867
0.888607,1.19157,1.06221,0.753613,0.814326
0.88813,1.1888,1.05938,0.753788,0.823193
0.894436,1.19647,1.06702,0.759803,0.82886
0.894436,1.19647,1.06702,0.759803,0.82886
0.894436,1.19647,1.06702,0.759803,0.82886
0.897251,1.19983,1.07038,0.762456,0.831385
0.901237,1.20451,1.07507,0.76617,0.834958
0.901237,1.20451,1.07507,0.76617,0.834958
0.90422,1.20804,1.0786,0.768961,0.837631
0.90422,1.20804,1.0786,0.768961,0.837631
0.90422,1.20804,1.0786,0.768961,0.837631
0.910274,1.2151,1.08568,0.774606,0.843072
0.910274,1.2151,1.08568,0.774606,0.843072
0.910274,1.2151,1.08568,0.774606,0.843072
0.915973,1.22592,1.10115,0.793666,0.873959
0.915973,1.22592,1.10115,0.793666,0.873959
0.921356,1.23226,1.10752,0.798785,0.878876
0.921356,1.23226,1.10752,0.798785,0.878876
0.921356,1.23226,1.10752,0.798785,0.878876
0.924812,1.23632,1.11159,0.802103,0.882058
0.924812,1.23632,1.11159,0.802103,0.882058
0.924812,1.23632,1.11159,0.802103,0.882058
0.930621,1.2431,1.11839,0.807696,0.887429
